observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	summaryStatistics
condition1__YAP_total_observable	condition1	1.135873	3			
condition1__YAP_total_observable	condition1	1.178458	3			
condition1__YAP_total_observable	condition1	1.229582	3			
condition1__YAP_total_observable	condition1	1.310968	3			
condition1__YAP_total_observable	condition1	1.297811	3			
condition1__YAP_total_observable	condition1	1.240246	3			
condition1__YAP_total_observable	condition1	1.167835	3			
condition1__YAP_total_observable	condition1	1.021649	3			
condition1__YAP_total_observable	condition1	0.788292	5			
condition1__YAP_total_observable	condition1	0.816674	5			
condition1__YAP_total_observable	condition1	0.847015	5			
condition1__YAP_total_observable	condition1	0.877469	5			
condition1__YAP_total_observable	condition1	0.925775	5			
condition1__YAP_total_observable	condition1	0.992861	5			
condition1__YAP_total_observable	condition1	0.979411	5			
condition1__YAP_total_observable	condition1	0.941384	5			
condition1__YAP_total_observable	condition1	0.898662	5			
condition1__YAP_total_observable	condition1	0.807023	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.098297	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.098297	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.08647475	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.0746525	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.06283025	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.051008	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.04336725	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.0357265	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.02808575	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.020445	0			
condition1__YAP_nuclear_observable_SEM	condition1	0.079461	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.079461	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.073891	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.068322	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.062752	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.057182	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.052829	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.048477	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.044124	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.039771	0.8			
condition1__YAP_nuclear_observable_SEM	condition1	0.101001	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.101001	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.090018	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.079035	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.068052	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.057069	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.051452	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.045835	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.040218	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.034601	1.5			
condition1__YAP_nuclear_observable_SEM	condition1	0.095383	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.095383	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.089462	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.083541	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.077619	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.071698	2			
