	collagen	speed	straight	angles	arrest	type
1	loose	1.8925409380665	0.065838728713532	1.04017202569008	0.675438596491228	infected
2	loose	1.32795454114489	0.091507862899896	1.6426132709763	0.808333333333333	infected
3	loose	1.69005383406367	0.024496504179578	1.89605135830447	0.716666666666667	infected
4	loose	0.438497858406662	0.086811681104687	1.81400622688246	1	infected
5	loose	0.773450873447518	0.117665022860141	1.80258742820939	0.966666666666667	infected
6	loose	0.779527315879185	0.106944880109936	1.86828954411567	0.958333333333333	infected
7	loose	1.26221978007244	0.061699030066505	1.65412288533699	0.85	infected
8	loose	1.37847584470186	0.063275031494197	1.91474584761803	0.791666666666667	infected
9	loose	0.937682316010754	0.029155765754218	1.87034433015789	0.933333333333333	infected
10	loose	1.48976097585037	0.035058412205063	1.90748917175948	0.75	infected
11	loose	5.95007240618087	0.044365580372453	1.85882840280937	0.183333333333333	infected
12	loose	13.6487491051932	0.174391198175227	0.718384941672114	0.065789473684211	infected
13	loose	1.00856410256423	0.046033998460557	1.90104343049748	0.916666666666667	infected
14	loose	0.62838640486955	0.05460406842852	1.78127237734159	0.966666666666667	infected
15	loose	2.30650746579285	0.017006135181884	1.89807459919318	0.533333333333333	infected
16	loose	1.10909216656459	0.075401647276275	1.71444736633519	0.9	infected
17	loose	0.4165264967006	0.055559709912569	1.80112575054001	1	infected
18	loose	1.28327095334107	0.009961746025378	1.95224892033013	0.791666666666667	infected
19	loose	8.38273050330149	0.849005399730666	0.73935503414537	0	infected
20	loose	1.13164630500048	0.062243363958401	1.76645400901845	0.875	infected
21	loose	0.758123896482203	0.049593334339509	1.93200268993673	0.916666666666667	infected
22	loose	1.27763861196632	0.067295062177903	1.88280102594916	0.85	infected
23	loose	1.03301900428765	0.055188598456876	1.83328366163061	0.883333333333333	infected
24	loose	1.26589666703626	0.066733163314316	1.66872601498672	0.858333333333333	infected
25	loose	3.76522539893737	0.196948179888426	2.00145178093664	0.383333333333333	infected
26	loose	3.67055498994718	0.08468886434537	1.70990358893075	0.35	infected
27	loose	2.26130929029919	0.028406396696713	1.74659421922731	0.6	infected
28	loose	4.47115706023789	0.067211803741038	1.86588932066877	0.35	infected
29	loose	3.02958760748578	0.237417407061815	1.36323300802567	0.408333333333333	infected
30	loose	4.360132017075	0.634640746727752	1.23079014061624	0.291666666666667	infected
31	loose	2.64357825941687	0.273988345296677	1.52195051974847	0.516129032258065	infected
32	loose	2.15172497989044	0.25939628574761	1.52329235956967	0.666666666666667	infected
33	loose	1.28947208527805	0.039245141510205	1.80368002486673	0.875	infected
34	loose	3.1946434124458	0.079311109968891	1.82580495967851	0.425	infected
35	loose	6.20622115415516	0.751416797518054	0.918776190686984	0.095238095238095	infected
36	loose	13.9388550957018	0.736391432910603	0.706757070295459	0.042857142857143	infected
37	loose	12.051712757446	0.665075273933496	0.721119954468828	0.041666666666667	infected
38	loose	1.09529964573351	0.017873927956368	1.75745813357223	0.8	infected
39	loose	5.75470361297539	0.182662249289831	1.23810345278542	0.233333333333333	infected
40	loose	1.64928899463134	0.030037207356406	1.77584793133639	0.725	infected
41	loose	13.7155647728325	0.213857304086559	0.682859207284389	0.083333333333333	infected
42	loose	0.930021191408148	0.037276549537019	1.74220960673511	0.908333333333333	infected
43	loose	0.638014677323456	0.043146185426141	1.78048780902741	0.975	infected
44	loose	1.22534055242807	0.048743710967979	1.76389980106963	0.833333333333333	infected
45	loose	1.34352672956663	0.018709986475323	1.7310132436141	0.825	infected
46	loose	1.47517076472154	0.032185446677758	1.806949457949	0.808333333333333	infected
47	loose	3.02367946416584	0.094245927024231	1.82449411686301	0.625	infected
48	loose	1.49529736031124	0.05856209159268	1.95355687831855	0.758333333333333	infected
49	loose	1.64139493562988	0.041934080945581	1.78276646831493	0.758333333333333	infected
50	loose	1.07988853586856	0.023748634588528	1.80431644051668	0.858333333333333	infected
51	loose	7.66107077153008	0.10536663594904	0.921965660907961	0.066666666666667	infected
52	loose	5.10117452585509	0.140216935662545	1.23322980984692	0.325	infected
53	loose	1.95957484783179	0.025546096496929	1.94517744750313	0.641666666666667	infected
54	loose	5.14616476679902	0.626268723195448	0.906956548548701	0.153846153846154	infected
55	loose	10.4216579957377	0.789995517407942	1.06440204881579	0.258333333333333	infected
56	loose	13.1815020570632	0.82591971939785	0.451232954370413	0	infected
